Id,Weekly_Sales
1_1_2012-11-02,21596.5418
1_1_2012-11-09,21116.88095
1_1_2012-11-16,20302.6546
1_1_2012-11-23,21298.39295
1_1_2012-11-30,23404.6265
1_1_2012-12-07,25972.9153
1_1_2012-12-14,38955.57255
1_1_2012-12-21,37164.024
1_1_2012-12-28,25585.26915
1_1_2013-01-04,22786.06405
1_1_2013-01-11,19132.8654
1_1_2013-01-18,25213.9196
1_1_2013-01-25,19896.88805
1_1_2013-02-01,22578.7854
1_1_2013-02-08,28931.6801
1_1_2013-02-15,41656.9114
1_1_2013-02-22,23474.2716
1_1_2013-03-01,26257.77185
1_1_2013-03-08,23184.69635
1_1_2013-03-15,22644.50085
1_1_2013-03-22,23524.53825
1_1_2013-03-29,25320.03005
1_1_2013-04-05,22101.62355
1_1_2013-04-12,21405.92295
1_1_2013-04-19,22499.90465
1_1_2013-04-26,22523.70875
1_1_2013-05-03,23268.5249
1_1_2013-05-10,19955.77235
1_1_2013-05-17,20882.7306
1_1_2013-05-24,18159.7623
1_1_2013-05-31,19056.50335
1_1_2013-06-07,18318.5988
1_1_2013-06-14,18166.06815
1_1_2013-06-21,17419.6963
1_1_2013-06-28,17398.4151
1_1_2013-07-05,19511.0887
1_1_2013-07-12,17461.481
1_1_2013-07-19,17980.6826
1_1_2013-07-26,19506.04515
1_2_2012-11-02,46120.7608
1_2_2012-11-09,46879.27555
1_2_2012-11-16,45476.5688
1_2_2012-11-23,44750.20935
1_2_2012-11-30,46474.0644
1_2_2012-12-07,47580.9925
1_2_2012-12-14,49412.32505
1_2_2012-12-21,59337.8184
1_2_2012-12-28,45473.9803
1_2_2013-01-04,45110.731
1_2_2013-01-11,43703.83355
1_2_2013-01-18,45631.16075
1_2_2013-01-25,42456.00665
1_2_2013-02-01,50768.6946
1_2_2013-02-08,51309.42815
1_2_2013-02-15,49948.1367
1_2_2013-02-22,49956.2486
1_2_2013-03-01,46970.264
1_2_2013-03-08,45913.2668
1_2_2013-03-15,45418.57025
1_2_2013-03-22,48621.44475
1_2_2013-03-29,47407.0825
1_2_2013-04-05,47320.8649
1_2_2013-04-12,45039.89565
1_2_2013-04-19,44991.65245
1_2_2013-04-26,44112.08925
1_2_2013-05-03,44321.0081
1_2_2013-05-10,45731.36345
1_2_2013-05-17,48267.3045
1_2_2013-05-24,47022.75275
1_2_2013-05-31,45554.97655
1_2_2013-06-07,45824.70305
1_2_2013-06-14,47578.7249
1_2_2013-06-21,47351.7492
1_2_2013-06-28,46266.0466
1_2_2013-07-05,46603.09885
1_2_2013-07-12,46190.4155
1_2_2013-07-19,45910.01895
1_2_2013-07-26,44195.6498
1_3_2012-11-02,11367.32135
1_3_2012-11-09,10793.98795
1_3_2012-11-16,10751.86035
1_3_2012-11-23,9605.06915
1_3_2012-11-30,10523.94715
1_3_2012-12-07,11116.23405
1_3_2012-12-14,12505.76305
1_3_2012-12-21,12116.37385
1_3_2012-12-28,9369.33745
1_3_2013-01-04,12525.17295
1_3_2013-01-11,13254.3738
1_3_2013-01-18,11785.59975
1_3_2013-01-25,10922.2702
1_3_2013-02-01,13421.7966
1_3_2013-02-08,17534.8684
1_3_2013-02-15,14952.6313
1_3_2013-02-22,14880.4674
1_3_2013-03-01,11079.492
1_3_2013-03-08,11470.80485
1_3_2013-03-15,10993.78795
1_3_2013-03-22,11341.9269
1_3_2013-03-29,10860.4625
1_3_2013-04-05,10274.9103
1_3_2013-04-12,11373.55395
1_3_2013-04-19,9736.68885
1_3_2013-04-26,10273.6085
1_3_2013-05-03,9813.95555
1_3_2013-05-10,11126.85975
1_3_2013-05-17,13603.9006
1_3_2013-05-24,9638.62765
1_3_2013-05-31,10358.2801
1_3_2013-06-07,12388.1196
1_3_2013-06-14,15519.76295
1_3_2013-06-21,15056.8391
1_3_2013-06-28,20664.02855
1_3_2013-07-05,12113.3968
1_3_2013-07-12,13646.69585
1_3_2013-07-19,12512.3275
1_3_2013-07-26,13689.9533
1_4_2012-11-02,37377.54785
1_4_2012-11-09,38150.9367
1_4_2012-11-16,38202.25645
1_4_2012-11-23,45930.07715
1_4_2012-11-30,38535.27495
1_4_2012-12-07,38774.6268
1_4_2012-12-14,37385.5266
1_4_2012-12-21,44718.49585
1_4_2012-12-28,39079.18495
1_4_2013-01-04,39402.88515
1_4_2013-01-11,37019.24565
1_4_2013-01-18,36342.48115
1_4_2013-01-25,34362.41515
1_4_2013-02-01,39225.53035
1_4_2013-02-08,40045.0419
1_4_2013-02-15,38736.94365
1_4_2013-02-22,37104.93035
1_4_2013-03-01,37897.29915
1_4_2013-03-08,37380.6857
1_4_2013-03-15,36673.917
1_4_2013-03-22,39711.6505
1_4_2013-03-29,38874.41505
1_4_2013-04-05,38645.8851
1_4_2013-04-12,36420.3209
1_4_2013-04-19,37414.7075
1_4_2013-04-26,36449.10445
1_4_2013-05-03,37231.83195
1_4_2013-05-10,37346.5064
1_4_2013-05-17,39402.9825
1_4_2013-05-24,39708.7374
1_4_2013-05-31,39194.2661
1_4_2013-06-07,37576.8205
1_4_2013-06-14,40355.51645
1_4_2013-06-21,39900.94635
1_4_2013-06-28,37912.5703
1_4_2013-07-05,38607.3941
1_4_2013-07-12,38721.562
1_4_2013-07-19,38001.64735
1_4_2013-07-26,36845.16585
1_5_2012-11-02,24384.60095
1_5_2012-11-09,27990.208
1_5_2012-11-16,27125.7057
1_5_2012-11-23,76891.36255
1_5_2012-11-30,30935.4687
1_5_2012-12-07,33364.5946
1_5_2012-12-14,38331.85765
1_5_2012-12-21,51678.04595
1_5_2012-12-28,32968.2794
1_5_2013-01-04,28167.0606
1_5_2013-01-11,21640.14745
1_5_2013-01-18,25955.93615
1_5_2013-01-25,22754.68035
1_5_2013-02-01,26296.5741
1_5_2013-02-08,32508.7806
1_5_2013-02-15,40184.66215
1_5_2013-02-22,28496.02155
1_5_2013-03-01,27337.49385
1_5_2013-03-08,23413.9065
1_5_2013-03-15,22710.9907
1_5_2013-03-22,24331.91085
1_5_2013-03-29,25812.13315
1_5_2013-04-05,26980.65595
1_5_2013-04-12,22182.48875
1_5_2013-04-19,23179.40525
1_5_2013-04-26,23265.17825
1_5_2013-05-03,23362.7238
1_5_2013-05-10,23766.4627
1_5_2013-05-17,22857.67415
1_5_2013-05-24,19965.59345
1_5_2013-05-31,20153.0238
1_5_2013-06-07,20751.1896
1_5_2013-06-14,19121.72175
1_5_2013-06-21,18792.1037
1_5_2013-06-28,18261.21035
1_5_2013-07-05,19375.70005
1_5_2013-07-12,18894.4543
1_5_2013-07-19,19862.3157
1_5_2013-07-26,21166.27025
1_6_2012-11-02,3416.3231
1_6_2012-11-09,3622.87735
1_6_2012-11-16,3331.06355
1_6_2012-11-23,17504.49175
1_6_2012-11-30,5677.98865
1_6_2012-12-07,5323.87425
1_6_2012-12-14,8315.4611
1_6_2012-12-21,14410.2837
1_6_2012-12-28,6238.35455
1_6_2013-01-04,4636.48415
1_6_2013-01-11,2773.7861
1_6_2013-01-18,4130.8021
1_6_2013-01-25,2526.5229
1_6_2013-02-01,3901.9705
1_6_2013-02-08,5680.3539
1_6_2013-02-15,4469.37525
1_6_2013-02-22,4406.6952
1_6_2013-03-01,4017.55645
1_6_2013-03-08,3772.42495
1_6_2013-03-15,3731.05185
1_6_2013-03-22,4467.3162
1_6_2013-03-29,4790.17085
1_6_2013-04-05,4474.7363
1_6_2013-04-12,3614.92215
1_6_2013-04-19,3634.9069
1_6_2013-04-26,3763.18025
1_6_2013-05-03,3859.26825
1_6_2013-05-10,3955.72195
1_6_2013-05-17,3659.2648
1_6_2013-05-24,4150.4975
1_6_2013-05-31,4211.7301
1_6_2013-06-07,3646.25435
1_6_2013-06-14,3234.608
1_6_2013-06-21,3115.41885
1_6_2013-06-28,2244.5028
1_6_2013-07-05,4204.975
1_6_2013-07-12,3643.155
1_6_2013-07-19,3700.02845
1_6_2013-07-26,3805.78125
1_7_2012-11-02,18885.2353
1_7_2012-11-09,22938.7901
1_7_2012-11-16,22412.8786
1_7_2012-11-23,69861.36705
1_7_2012-11-30,31725.7893
1_7_2012-12-07,35741.5895
1_7_2012-12-14,54836.65325
1_7_2012-12-21,89281.4042
1_7_2012-12-28,38001.24265
1_7_2013-01-04,21855.1071
1_7_2013-01-11,12115.7229
1_7_2013-01-18,21987.0743
1_7_2013-01-25,15483.9784
1_7_2013-02-01,22189.94615
1_7_2013-02-08,19504.8905
